id,URL,headline,author,date
f5ce44c3-cc3d-486f-8f10-a46cc9126c68,https://www.theverge.com/23658648/mastodon-ceo-twitter-interview-elon-musk-twitter,Can Mastodon seize the moment from Twitter?,Nilay Patel,2023-03-28T15:30:00.000Z
7df9ab59-4f03-48c2-88f7-a5102091b446,https://www.theverge.com/2023/3/28/23660059/tears-of-the-kingdom-open-world-potential-nintendo-switch,Tears of the Kingdom is going to ruin our lives and I’m here for it,Ash Parrish,2023-03-28T17:04:24.412Z
0c9e6b4d-7efd-4c22-9c3c-5fdea405a694,https://www.theverge.com/2023/3/28/23660128/apple-pay-later-buy-now-launches,Apple Pay Later is finally launching,Emma Roth,2023-03-28T15:45:22.521Z
37cf1c3f-6b2d-433a-ab21-915fbe775798,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,Jennifer Pattison Tuohy,2023-03-28T13:00:00.000Z
f52e5d01-05ec-437c-880b-1086f441cea7,https://www.theverge.com/2023/3/28/23658646/nasa-venus-funding-scientist-reaction-volcano-veritas,Scientists erupt at NASA gutting funding for crucial Venus mission,Georgina Torbet,2023-03-28T16:52:31.927Z
e09b4686-952e-413a-bd9a-03dfb20fc092,https://www.theverge.com/2023/3/28/23659868/amazon-returns-warning-product-reviews-tag-feature,Amazon starts flagging ‘frequently returned’ products that you maybe shouldn’t buy,Jess Weatherbed,2023-03-28T14:29:08.579Z
d6ce809c-d261-4e68-bd37-a2e1cfefafab,https://www.theverge.com/2023/3/28/23660076/sam-bankman-fried-accused-bribe-chinese-officials-ftx,Sam Bankman-Fried accused of sending a $40 million crypto bribe to Chinese officials,Emma Roth,2023-03-28T18:22:45.853Z
64bfaa77-87d9-4840-986d-ba7902942c70,https://www.theverge.com/2023/3/28/23660291/twitter-replies-update-confusing,Tweet replies no longer show who users are replying to,Jay Peters,2023-03-28T18:14:11.385Z
a17008eb-5a5a-4ee1-8709-c70e85ed2d7c,https://www.theverge.com/2023/3/28/23660202/starbucks-notification-test1-seank,You’re not the only one who just got a Starbucks test notification,Mitchell Clark,2023-03-28T17:53:46.630Z
e321d018-5983-4333-88ea-4d3c4886898c,https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,Adi Robertson,2023-03-27T14:55:18.397Z
15da3d83-076c-4c3b-b124-e9940c2b0d85,https://www.theverge.com/2023/3/28/23660101/ai-competition-ftc-doj-lina-khan-jonathan-kanter-antitrust-summit,The US government is gearing up for an AI antitrust fight,Adi Robertson,2023-03-28T16:38:23.839Z
508aab4f-7cb4-46f6-9fb3-1aa6065adbb7,https://www.theverge.com/2023/3/28/23659711/microsoft-security-copilot-gpt-4-ai-tool-features,Microsoft Security Copilot is a new GPT-4 AI assistant for cybersecurity,Tom Warren,2023-03-28T15:30:00.000Z
7d719721-7d22-46ac-805d-1d2e9fb84c3c,https://www.theverge.com/2023/3/28/23659842/twitter-boost-elon-musk-dril-mrbeast-algorithm-accounts,Twitter is secretly boosting Elon Musk Dril and MrBeast for some reason,Emma Roth,2023-03-28T15:21:12.723Z
08a2721f-b380-4586-864e-aaa0b604f7a8,https://www.theverge.com/23657335/sonos-era-300-review-spatial-audio-atmos-speaker,Sonos Era 300 review: too ahead of its time,Chris Welch,2023-03-27T13:00:00.000Z
497f88f3-7a9c-4405-9345-8912bd93c44a,https://www.theverge.com/23658650/life-by-you-interview-rod-humble-sims-gdc-2023,Life by You is trying to shake up life sims with a greater sense of freedom,Andrew Webster,2023-03-28T15:00:00.000Z
d1a47980-ee72-4d34-a7f4-92df0ac9b81d,https://www.theverge.com/2023/3/28/23658228/zelda-tears-of-the-kingdom-gameplay-trailer-nintendo-switch,Here’s 10 minutes of The Legend of Zelda: Tears of the Kingdom gameplay,Ash Parrish,2023-03-28T14:45:46.174Z
112f3243-19a3-46ff-97a3-fe399b907f2f,https://www.theverge.com/2023/3/28/23659938/elemental-trailer-pixar-disney-release-date,Elemental’s first trailer is a bubbling sizzling feast for the eyes,Charles Pulliam-Moore,2023-03-28T14:45:00.000Z
51388cb8-9580-4dd3-b89b-2fbc1c8308c5,https://www.theverge.com/2023/3/28/23659814/legend-of-zelda-tears-of-the-kingdom-nintendo-switch-oled,Nintendo is releasing a Zelda-themed Switch OLED for Tears of the Kingdom,Andrew Webster,2023-03-28T14:34:23.644Z
8cc2842c-bab2-4d4b-9176-9b3b21dbbbd5,https://www.theverge.com/2023/3/28/23658178/amazon-echo-meta-quest-2-yeedi-vac-2-pro-zendure-supertank-pro-deal-sale,Amazon’s fourth-gen Echo is the cheapest it’s been since the holidays,Sheena Vasani,2023-03-28T13:30:00.000Z
015424c0-610d-4639-912f-455beaf7f89d,https://www.theverge.com/2023/3/28/23655421/lenovo-slim-pro-9i-7-7i-announcement,Lenovo targets the MacBook with updated Slim Pro laptop line,Monica Chin,2023-03-28T13:00:00.000Z
6d24e1c4-519e-4c30-a632-34a69c9bef48,https://www.theverge.com/23652036/dji-avata-goggles-integra-rc-motion-2-pro-view-explorer-combo-price-date,DJI’s feels-like-flying Avata drone gets comfier and cheaper with Integra goggles,Sean Hollister,2023-03-28T13:00:00.000Z
c0aca10c-af6c-4e28-8433-64954f793df6,https://www.theverge.com/2023/3/28/23659727/hp-omen-gaming-monitor-2023-price-release-27k-hdr-ultrawide,HP’s new Omen gaming monitors leave you spoiled for choice,Jess Weatherbed,2023-03-28T12:00:00.000Z
207dac16-df7c-4979-8b6d-c3ad57ce582b,https://www.theverge.com/2023/3/28/23659411/google-chromebook-chromeos-practice-sets-docs-cast-moderator-changes-features,Chromebooks are popular with students — but Google wants teachers using them too,Monica Chin,2023-03-28T12:00:00.000Z
eb46d26f-27f9-4ae5-950a-38050d133d4a,https://www.theverge.com/2023/3/28/23653683/hp-victus-16-rtx-4070-intel-amd-gaming-laptop,HP’s new Victus gaming laptop might be the cheapest way to get an RTX 4070,Monica Chin,2023-03-28T12:00:00.000Z
80936a43-8098-48da-b596-9d07c6777d9d,https://www.theverge.com/2023/3/28/23659492/fortnite-creator-economy-2-0-epic-games-catch,Fortnite’s generous new creator economy has an Epic catch,Jay Peters,2023-03-28T11:00:00.000Z
9e85ffbe-60ba-40b9-9a7f-f826180a6600,https://www.theverge.com/2023/3/28/23659691/disney-metaverse-job-cuts-eliminated,Disney reportedly eliminates metaverse division in first round of layoffs,Jon Porter,2023-03-28T08:48:12.757Z
fd7ba781-6378-4efe-a5e4-720adf26225c,https://www.theverge.com/2023/3/27/23659326/apple-music-classical-available-download-app-store-ios,Apple Music Classical is now available from the App Store,Jay Peters,2023-03-28T03:27:05.134Z
5e7f8d2d-79e3-417b-96e1-8a644103fe8d,https://www.theverge.com/2023/3/27/23659351/elon-musk-twitter-for-you-verified-accounts-polls,Elon Musk says Twitter’s For You page will only recommend verified accounts,Mitchell Clark,2023-03-28T00:29:14.488Z
